username,mentioned,date,id
caiojunqueiraf,agencia_fiocruz,Thu Feb 10 23:58:44 +0000 2022,1491924626699599873
caiojunqueiraf,fiocruz,Thu Feb 10 23:58:44 +0000 2022,1491924626699599873
Bot_Corona_V,BrazilSFE,Thu Feb 10 23:58:43 +0000 2022,1491924624988426240
Bot_Corona_V,merial,Thu Feb 10 23:58:43 +0000 2022,1491924624988426240
Bot_Corona_V,kineta,Thu Feb 10 23:58:43 +0000 2022,1491924624988426240
EduCosta87,SaudeemFoco,Thu Feb 10 23:58:38 +0000 2022,1491924603559682048
EduCosta87,YouGov,Thu Feb 10 23:58:38 +0000 2022,1491924603559682048
BrazilSFE,merial,Thu Feb 10 23:58:08 +0000 2022,1491924475994161168
BrazilSFE,kineta,Thu Feb 10 23:58:08 +0000 2022,1491924475994161168
acg747,g1,Thu Feb 10 23:55:43 +0000 2022,1491923869082566664
francisco591106,SSalud_mx,Thu Feb 10 23:53:21 +0000 2022,1491923273914933249
MAYELAHJ,SSalud_mx,Thu Feb 10 23:52:22 +0000 2022,1491923024911777817
dearhgc,SaudeemFoco,Thu Feb 10 23:52:11 +0000 2022,1491922979013505034
dearhgc,YouGov,Thu Feb 10 23:52:11 +0000 2022,1491922979013505034
Tobias_VacinaJa,contagemcorona1,Thu Feb 10 23:48:05 +0000 2022,1491921949014073344
jornalistavitor,SaudeemFoco,Thu Feb 10 23:47:40 +0000 2022,1491921844676399104
jornalistavitor,YouGov,Thu Feb 10 23:47:40 +0000 2022,1491921844676399104
Marina_Lapin20,contagemcorona1,Thu Feb 10 23:46:03 +0000 2022,1491921436423954434
viralvideovlogs,contagemcorona1,Thu Feb 10 23:45:46 +0000 2022,1491921362440667153
LadyCasannova,contagemcorona1,Thu Feb 10 23:45:44 +0000 2022,1491921357835223042
luindarkness,contagemcorona1,Thu Feb 10 23:45:19 +0000 2022,1491921251878719489
MarcianoBrito13,contagemcorona1,Thu Feb 10 23:45:06 +0000 2022,1491921198510481413
Andersonp1980,contagemcorona1,Thu Feb 10 23:44:36 +0000 2022,1491921071083331592
TitoGremistazo,contagemcorona1,Thu Feb 10 23:44:04 +0000 2022,1491920935099768834
mirsantos,OPASOMSBrasil,Thu Feb 10 23:43:38 +0000 2022,1491920829088681986
RobertDetoni,minsaude,Thu Feb 10 23:43:31 +0000 2022,1491920797765713930
RaiodeLuz555,agencia_fiocruz,Thu Feb 10 23:43:23 +0000 2022,1491920764156755973
RaiodeLuz555,fiocruz,Thu Feb 10 23:43:23 +0000 2022,1491920764156755973
cberilramos,AiltonBenedito,Thu Feb 10 23:42:40 +0000 2022,1491920583399030786
LuizdePaula100,contagemcorona1,Thu Feb 10 23:39:04 +0000 2022,1491919677215457299
EstanilauBretas,istoe_dinheiro,Thu Feb 10 23:37:15 +0000 2022,1491919223098126339
Augusto74634111,agencia_fiocruz,Thu Feb 10 23:37:08 +0000 2022,1491919193289207808
Augusto74634111,fiocruz,Thu Feb 10 23:37:08 +0000 2022,1491919193289207808
genidozepelim,g1,Thu Feb 10 23:36:02 +0000 2022,1491918913420079105
Bot_Corona_V,istoe_dinheiro,Thu Feb 10 23:34:42 +0000 2022,1491918579448659972
BorgesRona,agencia_fiocruz,Thu Feb 10 23:33:41 +0000 2022,1491918325298995204
